category,job_description_new,job_type_new,split
Information & Communication Technology,Business Analyst Education Professional Services High profile Australian organisation is looking for a Business Analyst to work on a within the applications team to ensure accurate requirements are being gathered ahead of a large application integration Tasks To liaise with business managers and employees to understand and document business requirements across affected business areas Contribute to and support research requirement gathering and validation activities directly with customers including usability and acceptance testing To understand document and prioritise business requirements across affected business areas To work with business owners to develop optimal solutions To develop complete and accurate business models including process data and organisation Work with project manager s to plan analysis work and highlight risks and issues Work with the business owners to define acceptance criteria Assist in developing best practice in the execution of requirements design and usability Create project initiation documents defining high level scope Experience Worked as a BA on a document focused Managment system Case Document Client Managment Systems Experience with analysing business processes identifies alternative solutions assesses feasibility and recommends new approaches Experience in an Agile environment preferred Experience UX Wireframes preferred Proven experience for investigative work to determine business requirements and specify effective business processes through improvements in information systems information management practices procedures and organisation change Apply Please hit apply Business Analyst Application ,Full Time,train
Real Estate & Property, Excellent entry level opportunity to join us as a Development Professional in Melbourne About the role This Development Professional role offers a unique opportunity to work across the full development process on complex mixed use projects One development is currently at the end of the construction phase with a focus on sales whilst another development is in the early stages meaning involvement in detailed design and pre construction activities This role is a great opportunity to apply past skills and grow within a new role as part of a high performing team Key Responsibilities Assist in ensuring projects are scoped designed and delivered in accordance with the business strategy and vision Support project delivery to ensure schedule revenue and cost objectives are met Assist with control and monitoring of development budgets Assist with procurement and payment of consultants contractors and suppliers Assist with monitoring market and competitor activity to maintain competitiveness Provide support to Development Managers on current and prospective projects including assisting in writing approval submissions Undertake or participate in ad hoc small projects as required About You If you are looking to work on high profile challenging and complex projects in addition to being part of a broader fast paced development team this role could be for you You will be degree qualified in a related discipline with prior relevant experience in built form with exposure to apartments favourable You will have strong numerical literacy skills and a collaborative open style of working Further skills include Expertise in project cost and risk management Basic knowledge of procurement processes and contract administration Ability to fit into Stockland culture and live by its values Knowledge of Stakeholder relationship management Being able to work autonomously Solid communicator with stakeholder skills Reporting and financial feasibility competency Design and customer focus What s in it for you Great opportunity for someone looking to take the next step in their development career as the role is working closely with Development Managers across the full development process and provides excellent exposure on complex high profile projects About us Stockland was founded in 1952 with a vision to not merely achieve growth and profits but to make a worthwhile contribution to the development of our cities and great country Today we reflect this vision by helping to create thriving communities brought to life by over 1 400 employees who are guided by our values of community accountability respect and excellence CARE At Stockland we value diversity and aim to create a vibrant and inclusive workforce which is reflective of the communities in which we operate We also value flexibility and encourage employees to work in ways that suit their life and the nature of their role so they feel able to meet their work life commitments and support their wellbeing Stockland could be your place too Apply today Stockland It s your place ,Full Time,train
Construction,Protech have partnered with a major player in the Civil Construction industry seeking a Materials Procurement specialist to join this M4 Project team in Haberfield ASAP Materials Technical wholesale exposure highly regarded Advanced experience with MS excel and MS projects Fulltime position ongoing work Contractors or Perm employees considered To be successful in this role we are seeking applicants who enjoy all facets of purchasing inventory logistics coordination and your electrical procurement skills will be your asset Liaising with the senior management engineers and supervisors as the Materials Coordinator your daily duties will include the following Liaison with Proj Management teams Extensive budgeting skills Quoting all materials supplies for projects Read over and interpret electrical drawings Building rapport with all suppliers to negotiate best cost Schedule and monitor all logistics If you feel like you are seeking your next challenge to boost your career within a opportunistic company call Tamara today for a confidential chat 8825 8000 The position will reward with a FLAT daily rate of pay and this will be applicable to half day fri saturdays All candidates must have AUS working rights and be able to pass a Medical Drug test ,Full Time,train
"Manufacturing, Transport & Logistics", PLEGA is one of the leading suppliers of healthcare and mobility aids in Australia You will enjoy and grow in our friendly team environment with great career opportunities and the potential to advance Experience preferred but not essential as full company training will be provided Your role will include general warehouse duties despatch and customer service The successful candidate will have Warehouse experience Strong work ethic Willingness to learn Ability to work in a team environment Good computer skills preferred Current drivers licence Apply Now Immediate Start ,Full Time,train
Administration & Office Support, Our client is looking for a new Administration Officer to join their office This is a full time position directly with our client Ocha are completing the initial interview reference checks and will be short listing for our client To be considered you will need good experience in the following duties skills Experience in completing all payroll functions using MYOB including compiling PAYG Superannuation Child Support Preparing Budgets and Cash flow projections Preparation of financial reports for the external accountant Reconciling Accounts Payable Receivable via MYOB Reconciling General Ledger accounts Company Bank Accounts Credit Cards Petty Cash Preparation of WorkCover and payments Good data entry skills Excellent communication organisational and time management skills Attention to detail and accuracy Experience with BAS is highly desireable Any experience with an Integrated Management System would be highly regarded Our client is looking for go getter who is able to start running when they commence To be considered please forward your resume including current reference details by clicking the APPLY button Now ,Full Time,train
Construction, Well established Civil Construction Company with sites around greater Melbourne Applicants must be experienced in Deep Trenching and Rock Breaker operation The role will require the following Red White Construction Induction card Excavator Tickets Subdivision experience Proactive approach Team player and wants to be part of a successful operation The right candidates will be offered full time employment with regular overtime and above award rates Immediate Start Forward CV or details to accounts califam com Phone during Business hours Monday to Friday 9463 7466 Please only express interest if reliable and experienced in the above role ,Full Time,train
Government & Defence, Today we have around 250 people who work to help make sure Medicare and the PBS is used well By July this year we will increase to around 400 people We now need some help experienced professionals who can help us ensure compliance and adherence with government legislation and regulations across health professionals in Australia Who are we The Commonwealth Health Department Provider Benefits Integrity Division is responsible for identifying investigating and treating incorrect claiming inappropriate practices and fraud We use a range of tools and approaches including Data analytics Behavioural economics Targeted campaigns Investigations Audit and Professional review Key elements of our work include conducting targeted interventions undertaking analysis and auditing of health providers billings and practices Our activities are informed by comprehensive compliance strategies advanced data analytics and insights from behavioural economics Preparation of complex and or sensitive correspondence and corporate documentation reports submissions proposal papers and notes are critical to the success of our work Our compliance teams work in the areas of Targeted Campaigns Audit Professional Review and Data Integrity and Quality We are looking for junior staff who may be newer to compliance work at the APS 3 and APS 4 levels as well as more experienced staff that who can begin to take up team leadership roles at the APS 5 and APS 6 levels Who are we looking for People with experience in areas such as audit fraud data integrity and quality as well as business improvement What will you do Work in one of our Compliance teams The senior roles APS 5 and APS6 will usually work as team leaders where the more junior roles APS 3 and APS 4 will form the core of our teams you will work in one of the sections listed here Targeted Campaigns Audit Professional Review Pathology Rents Quality These sections undertake a wide range of work including Working with stakeholders to encourage voluntary acknowledgment of incorrect billing and seek repayments Conducting analysis and audit of suspected high value claiming which does not meet legal requirements incorrect claiming Where an audit identifies incorrect claiming the Audit Section will raise debts for any incorrect amounts Review health practitioners GP s Specialists and Allied Health Professionals who may have engaged in possible inappropriate practice and where appropriate refer practitioners of concern to the Director of Professional Services Review Undertaking targeted reviews and regular monthly quality checks of data integrity and decision making surveying providers who have been audited and implementing a continuous business improvement program Who are you You like working with people and have good written and oral communication skills You enjoy working as part of a team and the more senior roles need people who have experience leading teams You have some understanding and experience in the areas of audit fraud entity analysis or quality management You can ensure compliance work is conducted in a timely manner and to high standards You have an understanding of Australian Government health benefits programs and their governing legislation You have good judgement to contribute to decision making and can seek assistance when it is needed What you need to know Positions are based in Canberra Brisbane Sydney Melbourne Perth Hobart or Adelaide Offices Travel within Australia may be required Security clearance Hold or be able to attain Baseline Security clearance Applicants must be an Australian Citizen Salary APS3 APS6 range 60 161 92 265 For further information and to submit an application please refer to Department of Health Applications close Sunday 29 April 2018 11 30pm AEST ,Full Time,train
Information & Communication Technology, Are you intelligent switched on sales savvy seeking an opportunity to work in the professional services industry for a firm that will really kick start your career Would you like to work in a very fast paced sales team sourcing a range of highly senior candidates for a range of top tier clients If this sounds like you you re ready to take the next step in your career hit the Apply for this job button now to find out more You are This role is open to people with various levels of experience and career backgrounds What we are really looking for is potential someone with excellent people skills combined with a strong customer focus a desire to grow with a firm in the longer term You are someone who ideally has come from a professional services sales customer service background who has the ability to work quickly efficiently supporting Senior Recruitment Consultants in sourcing candidates for multiple corporate roles Personality cultural fit is key as such you ll be friendly professional dedicated enjoying a fun sales team environment We are Aurec is a highly respected award winning recruitment professional services consultancy and are preferred suppliers to a long list of top tier corporate firms With sleek modern offices close to Wynyard station we have beer fridges ping pong pool tables chill out spaces a large kitchen area We invest heavily in staff and push career growth with a clear path to promotion As a work hard play hard organisation you ll be joining a close knit team who enjoy loads of social events together whilst pushing hard to achieve excellence provide outstanding service to our clients Recently we ve had trips to the Hunter Valley gone trampolining lunches out Oktoberfest massage days jet boating yacht parties on the harbour The Role As a Sales Support Junior Recruitment Consultant you ll be supporting a Senior Consultant in finding talent for a range of big name clients This role involves significant time on the phone speaking to senior professionals qualifying them against vacancies we need to fill You ll be given comprehensive continual training whether you come in with no experience or with several years in a similar role Where this opportunity takes you is completely up to you You can remain in the Sales Support Resource Consultant role make a career of that building up your contractor book making excellent commissions There is also the opportunity to grow into a 360 degree Recruitment Consultant at your own pace where there is phenomenal earning potential Skills Experience Qualities Enthusiasm a positive attitude professional manner Excellent customer service skills A background in sales or client facing roles ideal Desire to grow your career with a company long term Ability to work quickly Strong relationship building skills Excellent organisational skills Fantastic phone manner One of Aurec s Principle Consultants was the winner of RI s 2017 Recruiter of the Year our back office team were the winner of RI s 2017 Back Office Support Team of the Year Aurec also being a finalist in RI s 2017 Growth Company of the Year This is a great opportunity To apply please submit your CV via the portal by clicking the APPLY NOW button below You can also contact Erinn Brukmann directly on 0422 154 366 02 9993 1036 ,Full Time,train
"Farming, Animals & Conservation", 2 Year Full Time Fixed Term Contract 7 day roster position The Nature Parks is an inspiring workplace and as the largest employer on Phillip Island offers a range of career paths Our people are enthusiastic committed and professional in what they do They work across a broad range of activities and have many opportunities available to them should they wish to develop their skills work in different locations or have a variety of roles We are seeking to appoint a full time Farm Assistant to support the Farm Coordinator in farm management and maintenance providing visitor experience through excellent tours activities including milking cows sheep shearing and working dog display and ensuring compliance with the islands heritage values To be successful in this position you will need to address the following criteria Experience in shearing sheep essential Working knowledge and experience in farm management including crops livestock horses and paddock management Excellent communication skills with experience in giving presentations to visitors and tour groups Knowledge and skills in operation and maintenance of farm machinery tools and equipment Experience working with farm animals and ability to ensure appropriate care with animals Understanding of Occupational Health and Safety practices Drivers licence with the ability to drive a manual vehicle First Aid Certificate Working with Children s check The position classification will be Scale 1 allowances 26 36 per hour as defined in the current Phillip Island Nature Parks Agreement Hours of employment are in accordance with a seven day roster which includes weekends and public holidays A detailed position description can be obtained from our website at www penguins org au employment Applications are to be submitted with resume and cover letter addressing selection criteria to recruitment penguins org au by Sunday 29th April 2018 Our mission is to conserve and enhance the Nature Parks environment for current and future generations achieving a balanced environmental economic and social outcome ,Full Time,train
Banking & Financial Services, About Us EJM Financial Services has been in operation for over 20 years and has a vision to Create Happiness for our clients and our team We have a strong track record of success as one of the leading practices in our group nationally receiving numerous awards Based in West Melbourne opposite Flagstaff Gardens we currently have a team of 23 people who are dedicated to ensuring our clients are at the centre of everything we do Currently we have an exciting opportunity for a Client Services Officer to join our growing team in a full time or part time capacity About the Role Our Client Services Officers partner with our Financial Planners to ensure an exceptional client experience Key areas of responsibility include but are not limited to Client communication throughout the advice process Preparation of files for para planning Implementation of advice Industry experience preferred We will provide on the job training for the successful applicant in areas they do not have specific experience in This role would suit a candidate who is looking to continue their career in Financial Planning or would like to begin their career in this field What you need to be successful in this role Positive Above the Line attitude Client focused High energy Quick Learner Very high attention to detail and accuracy Understanding of compliance standards and adherence to those Highly organised with excellent time management skills Solution focused Intermediate to advanced skills in Microsoft office suite NB Other system training to be provided upon employment What we provide A competitive salary A fun team environment Ongoing mentoring and training specific to your personal development For further information please contact Jonida Lulo Services Manager Ph 03 9320 7600 or Email j lulo ejm com au ,Full Time,train
Legal, Legal Assistant Personal Injury About Our Firm Founded in 1981 Zaparas Lawyers has a proud tradition of service as a family business supporting clients in compensable injury Our strong Firm ethos is underscored by believing in a society where all individuals have appropriate redress when they suffer loss In support of this ethos we do everything in our power to make the legal process as open uncomplicated and as non frightening for our clients as possible By providing the best advice we achieve just compensation for clients and earn a strong reputation in our field A great opportunity has arisen for a full time Legal Assistant to join our growing Firm The Opportunity You will provide crucial administrative support by carrying out a range of secretarial tasks which will assist the functioning of one or more practice groups You will be responsible for a range of legal support and administration accountabilities as assigned by your supervisors These include but are not limited to Opening new files preparing letters and correspondence drafting medical legal letters of instruction compiling briefs and court documents File management proactively liaising with the supervising solicitor and relevant parties to advance files General administration and filing Developing and maintaining billing systems Monitoring critical dates to ensure deadlines are met Diary management Handling general client and stakeholder enquiries via telephone and face to face The Successful Applicant The Legal Assistant position at Zaparas will be both challenging and rewarding We are looking for someone who Is a self motivated individual who can work efficiently Has excellent communication skills and the ability to deal sensitively and confidently with clients Has great attention to detail and is able to complete tasks to a high standard Is a team player who is willing to share knowledge and help their peers Previous experience in a recognised personal injury firm or a relevant TAFE qualification in legal administration is desirable What s On Offer You will be working in a close knit team with two supportive and friendly supervising lawyers Your work will have a positive impact on the lives of our clients We have a great culture that recognises and rewards our employees You can continue to grow with a growing firm How To Apply If you think this is the job that you have been searching for please click Apply today ,Full Time,train
Administration & Office Support, The company Masterwize is part of the Ecowize Group and was established 1985 Masterwize provides multi location cleaning property services and specialised one off cleaning to more than 1000 sites across Australia We re committed to client outcomes across a broad range of industries Role and Responsibilities Collate and compile sales proposals and tender docs Collating and reporting on sales statistics CRM maintenance Knowledge of Netsuite or Sales Force would be an advantage Proactively managing sales and marketing processes opportunities and tender portals External market analysis and making recommendations for improvement in turnover Working closely with the General Manager to meet the needs of our top customers Filing and maintenance of client proposals contracts and agreements Compile for analysis existing monthly customer spread sheets in line with KPIs Correspondence to clients potential clients in a professional manner on GM s NOM s behalf Collate register and manage Sub contractors Agreements PL and WC Certificates Assisting managing the Customer Service Team to process cleaner client queries Back up for the daily running of the Customer Service Team General office support and administration Requirements Proven experience in either a sales role sales support or in other administrative positions is essential Good computer skills MS Office Excellent telephone etiquette and skills Proficiency in English Well organized attention to detail and responsible with an aptitude in problem solving Excellent verbal and written communication skills A team player with high level of dedication If you love working in a fast paced environment and problem solving apply now ,Full Time,train
